Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
254,354,254,153,74422,293.000,0.000,293,293,293,285.154,492.425,11.882,3.768,1.010,3.768,285.153,492.425,11.882,282,488,7,7,9,11
82,208,82,61,24190,295.000,0.000,295,295,295,296.598,507.220,11.329,2.779,1.079,2.618,296.598,507.220,11.329,294,505,7,7,8,9
393,454,393,247,126939,323.000,0.000,323,323,323,105.718,514.730,13.372,4.624,1.528,4.561,105.718,514.731,13.372,101,512,7,10,5,17
125,250,125,123,37375,299.000,0.000,299,299,299,388.432,515.488,12.000,3.216,1.132,3.295,388.432,515.488,12.000,384,514,7,10,3,10
549,594,549,272,178974,326.000,0.000,326,326,326,113.240,34.661,14.213,4.929,1.280,4.870,113.240,34.661,14.213,109,29,8,9,12,14
443,496,443,230,120496,272.000,0.000,272,272,272,343.799,58.510,14.914,4.568,1.141,4.563,343.799,58.510,14.914,339,55,8,10,9,15
279,354,279,155,67797,243.000,0.000,243,243,243,345.520,81.541,11.803,3.769,0.720,3.774,345.520,81.541,11.803,342,77,8,8,9,10
41,104,41,33,11193,273.000,0.000,273,273,273,362.902,95.000,11.146,1.947,0.551,2.062,362.902,95.000,11.146,361,93,8,5,5,6
142,222,142,92,34790,245.000,0.000,245,245,245,119.437,107.923,11.387,2.949,0.761,2.882,119.437,107.923,11.387,118,104,8,4,9,8
3740,2624,3740,1251,1492260,399.000,0.000,399,399,399,80.092,113.197,16.908,10.095,2.778,9.901,80.093,113.196,16.908,69,99,8,22,30,18
3447,2214,3447,1090,2168163,629.000,0.000,629,629,629,127.404,160.851,28.066,10.084,3.424,9.630,127.403,160.851,28.066,121,150,8,14,21,37
208,310,208,140,70512,339.000,0.000,339,339,339,434.380,233.995,14.827,3.659,1.329,3.360,434.380,233.995,14.827,432,231,8,6,6,15
2457,1904,2457,1111,995085,405.000,0.000,405,405,405,370.969,262.944,18.312,8.910,2.826,8.530,370.968,262.944,18.312,364,248,8,17,29,25
3743,2284,3743,1249,2212113,591.000,0.000,591,591,591,265.667,265.631,30.612,11.170,4.143,10.600,265.668,265.634,30.612,258,257,8,16,19,42
279,360,279,168,79515,285.000,0.000,285,285,285,513.552,345.538,12.004,3.822,0.877,3.789,513.552,345.538,12.004,508,341,8,9,10,9
12,46,12,12,3180,265.000,0.000,265,265,265,515.833,365.500,10.000,1.344,0.523,1.262,515.833,365.500,10.000,515,364,8,2,4,5
507,556,507,278,145002,286.000,0.000,286,286,286,513.880,397.722,11.576,4.943,1.384,4.702,513.881,397.722,11.576,508,391,8,9,17,12
375,446,375,230,132375,353.000,0.000,353,353,353,514.693,415.821,14.085,4.491,1.385,4.444,514.692,415.821,14.085,512,408,8,5,14,14
7727,3970,7727,2153,4334847,561.000,0.000,561,561,561,230.650,448.488,31.902,13.574,4.341,13.390,230.651,448.492,31.902,222,435,8,18,26,48
2201,1502,2201,740,1195143,543.000,0.000,543,543,543,25.613,473.640,24.107,9.082,3.311,8.233,25.613,473.635,24.107,19,467,8,16,15,33
331,392,331,167,96652,292.000,0.000,292,292,292,277.888,482.414,12.009,4.049,0.850,4.014,277.888,482.414,12.009,273,479,8,11,8,10
1526,1120,1526,645,778260,510.000,0.000,510,510,510,511.284,510.886,18.151,7.105,1.619,6.917,511.285,510.887,18.151,503,503,8,14,14,19
3188,1852,3188,896,1546180,485.000,0.000,485,485,485,202.867,7.741,22.707,9.177,2.039,8.776,202.867,7.741,22.707,194,0,9,18,15,30
1473,1098,1473,568,614241,417.000,0.000,417,417,417,360.519,32.730,19.715,7.082,1.882,6.945,360.521,32.730,19.715,356,27,9,10,14,22
82,156,82,56,24600,300.000,0.000,300,300,300,457.671,32.159,12.841,2.493,0.697,2.406,457.671,32.159,12.841,456,30,9,5,5,9
539,528,539,256,203742,378.000,0.000,378,378,378,232.887,39.863,15.764,4.730,0.904,4.615,232.886,39.863,15.764,228,36,9,9,9,14
2057,1422,2057,721,927707,451.000,0.000,451,451,451,153.048,57.247,20.718,8.032,1.886,7.898,153.048,57.247,20.718,147,49,9,14,17,22
3630,2146,3630,1126,1579050,435.000,0.000,435,435,435,8.213,85.804,19.827,9.410,1.832,9.638,8.213,85.804,19.827,0,77,9,21,16,22
2000,1562,2000,773,806000,403.000,0.000,403,403,403,73.535,138.038,19.167,7.837,1.837,7.661,73.535,138.038,19.167,68,129,9,13,18,25
117,194,117,76,36036,308.000,0.000,308,308,308,480.385,208.094,13.308,2.876,0.830,2.602,480.385,208.094,13.308,478,206,9,5,6,10
6650,3472,6650,1795,3577700,538.000,0.000,538,538,538,96.634,209.320,29.038,11.875,2.600,11.991,96.634,209.320,29.038,86,196,9,22,27,37
3069,1782,3069,886,1356498,442.000,0.000,442,442,442,25.499,260.181,19.419,9.224,2.165,8.945,25.498,260.181,19.419,16,248,9,18,27,22
8419,5050,8419,2789,5208109,618.614,0.487,619,618,619,294.339,263.701,32.343,12.616,4.646,12.265,294.339,263.703,32.344,283,251,9,23,28,48
95,172,95,65,29640,312.000,0.000,312,312,312,90.632,284.053,13.547,2.631,0.786,2.457,90.632,284.053,13.547,89,282,9,5,5,10
4696,3274,4696,1711,2961116,630.561,11.119,622,622,645,346.961,362.383,29.318,11.438,4.606,11.108,346.928,362.440,29.453,337,350,9,20,26,40
9046,4490,9046,2256,5952268,658.000,0.000,658,658,658,325.213,387.673,35.760,14.945,5.371,14.160,325.214,387.674,35.760,314,375,9,22,29,54
1634,1188,1634,560,763078,467.000,0.000,467,467,467,318.823,458.863,18.731,7.054,1.213,7.056,318.822,458.864,18.731,312,451,9,14,15,20
780,742,780,343,290160,372.000,0.000,372,372,372,488.800,481.427,14.582,5.875,1.634,5.738,488.798,481.427,14.582,481,473,9,14,17,12
230,300,230,156,86480,376.000,0.000,376,376,376,80.083,514.813,15.009,3.660,1.118,3.594,80.083,514.813,15.009,76,512,9,9,5,13
94,168,94,78,30550,325.000,0.000,325,325,325,489.702,515.298,13.138,2.581,0.784,2.590,489.702,515.298,13.138,487,514,9,7,3,9
139,236,139,90,50179,361.000,0.000,361,361,361,194.683,45.619,15.338,3.139,1.068,2.923,194.683,45.619,15.338,192,43,10,6,6,12
4605,2562,4605,1242,2247240,488.000,0.000,488,488,488,99.582,57.220,23.623,10.836,2.982,10.310,99.579,57.220,23.623,90,47,10,22,22,33
3592,2056,3592,989,1799592,501.000,0.000,501,501,501,76.229,55.298,23.673,9.584,2.068,9.314,76.229,55.299,23.673,69,45,10,15,20,30
495,484,495,250,187605,379.000,0.000,379,379,379,2.509,144.933,15.949,4.610,0.942,4.585,2.509,144.933,15.949,0,141,10,8,9,13
3299,3090,3299,1624,1903350,576.948,16.319,569,569,616,18.354,151.742,23.655,9.397,2.426,9.006,18.389,151.786,23.759,9,141,10,24,24,23
1513,1182,1513,601,664207,439.000,0.000,439,439,439,208.093,168.940,17.903,7.036,1.670,7.302,208.094,168.940,17.903,201,164,10,16,11,18
2310,1664,2310,803,1217370,527.000,0.000,527,527,527,293.987,202.117,25.549,9.039,3.042,8.318,293.986,202.115,25.549,288,193,10,13,17,31
650,626,650,283,241150,371.000,0.000,371,371,371,309.238,338.095,15.160,5.243,1.208,5.206,309.239,338.095,15.160,305,332,10,10,14,12
2118,1430,2118,677,872616,412.000,0.000,412,412,412,323.735,402.128,18.378,7.713,1.449,7.927,323.738,402.127,18.378,318,393,10,13,19,21
2684,1588,2684,803,1363472,508.000,0.000,508,508,508,74.981,447.355,23.928,8.569,1.585,8.287,74.982,447.356,23.928,67,440,10,18,16,23
