@relation TWS-3D-v3.3.1-grayscale

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute class {Cell,Background,Garbage}

@data
100,103.184509,-1.055934,-3.518343,-1.448979,343.919983,-16.732931,107.410004,-0.496547,-0.026406,-0.006242,0.028299,0.009907,91.217789,0.036845,0.000161,0.000041,-0.000001,-0,58.07896,0.002898,-0.00002,-0,-0,0,Cell
136,142.736542,3.549171,-1.525974,-3.703286,-328.329407,30.025969,123.899178,-0.153735,-0.070679,-0.042155,0.017599,0.041644,94.107475,0.0451,0.000029,0.000007,0,-0,58.155769,0.003168,-0.000024,-0,-0,0,Cell
255,189.262619,3.108794,-0.207508,-9.486599,192.379654,84.546539,140.248672,0.226447,-0.062092,-0.0266,-0.013524,0.019605,96.238609,0.05098,-0.000123,-0.00003,0.000001,0,57.943501,0.003167,-0.000028,-0,0,0,Cell
240,212.080292,-1.240223,3.040204,11.391623,-159.7314,-22.347252,149.595276,0.52463,-0.019383,0.020356,-0.027964,-0.034141,97.153862,0.051169,-0.000217,-0.00006,-0.000001,0,57.43922,0.002906,-0.000031,-0,0,0,Cell
255,196.294357,-1.346419,0.818031,17.430267,70.575928,-214.011246,147.855515,0.64677,0.026663,0.03826,-0.010477,-0.04495,96.493103,0.043289,-0.00023,-0.000073,-0.000003,0,56.648197,0.002411,-0.000033,-0,0,0,Cell
136,150.358826,2.228721,1.705638,-8.138359,-94.366089,91.329117,136.260635,0.52039,0.059207,0.010362,0.01261,0.002642,94.09053,0.02698,-0.000196,-0.000063,-0.000004,0,55.58419,0.001721,-0.000035,0,0,0,Cell
71,83.126923,1.945162,1.233901,6.055994,44.225349,-66.199081,74.190422,0.236928,0.057128,-0.028948,-0.008663,0.020738,58.774044,0.000808,-0.000462,-0.000024,-0.000003,0,48.678345,-0.009164,-0.000002,-0,-0,-0,Cell
124,102.944092,1.192678,-0.936205,7.358123,152.726379,-251.124191,87.65937,0.141299,0.029552,-0.015817,0.005077,0.007442,64.188637,0.001705,-0.000781,-0.00001,0.000001,0,50.300793,-0.008174,-0.000003,-0,-0,-0,Cell
110,118.730408,-1.240103,1.858033,-17.999849,-199.923248,301.377075,101.16217,-0.015572,-0.012158,0.015119,0.003244,-0.019051,69.296944,0.003262,-0.00106,0.000005,0.000005,-0,51.922958,-0.006967,-0.000004,-0,-0,-0,Cell
155,143.508438,-3.685104,1.44086,9.893181,-86.535339,190.578049,113.332886,-0.130381,-0.081303,0.032493,-0.00567,-0.029871,73.913124,0.005592,-0.001196,0.00002,0.000008,-0,53.51115,-0.005604,-0.000005,-0,-0,-0,Cell
208,176.963242,-0.462256,-2.512887,23.76623,195.922195,-514.939026,121.481743,-0.138355,-0.151727,0.021861,0.001113,-0.008975,77.949669,0.008637,-0.001105,0.000031,0.000009,-0.000001,55.029099,-0.004151,-0.000007,-0,-0,-0,Cell
252,191.118851,2.119249,-3.128835,-12.100707,45.615246,-7.99969,122.517899,-0.070561,-0.158863,-0.000943,0.019423,0.013111,81.456314,0.012315,-0.000764,0.000041,0.000007,-0.000001,56.438965,-0.002677,-0.000009,-0,-0,-0,Cell
200,164.634537,0.469442,1.848613,-15.513221,-216.878845,454.031738,115.79863,-0.017774,-0.070539,-0.016285,0.018345,0.015383,84.615639,0.016721,-0.000237,0.000047,0.000003,-0,57.702114,-0.001254,-0.000011,-0,-0,-0,Cell
124,114.811531,1.32686,-0.261863,2.013532,18.789856,-136.318329,104.890221,-0.055013,0.061179,-0.015868,-0.009796,0.010383,87.683968,0.022236,0.000333,0.000051,-0.000002,-0,58.781101,0.000052,-0.000014,-0,-0,-0,Cell
67,77.530396,1.338569,0.755008,1.849384,246.295929,-179.397873,96.229515,-0.17741,0.143299,-0.001182,-0.032346,0.000792,90.887558,0.029372,0.000774,0.000048,-0.000005,-0,59.641735,0.001181,-0.000018,-0,-0,0,Cell
34,66.122406,-0.90085,5.549526,-3.98302,-112.50827,130.077835,95.727867,-0.289111,0.127144,0.011112,-0.018577,-0.011869,94.303772,0.038361,0.000951,0.000037,-0.000005,-0,60.253975,0.002083,-0.000021,-0,-0,0,Cell
35,78.994728,-1.87862,-2.860163,-0.404357,-278.677429,-4.36635,105.934006,-0.27186,0.041079,0.001826,0.018444,-0.006931,97.788254,0.048631,0.000823,0.000014,-0.000004,0,60.592716,0.002722,-0.000025,-0,-0,0,Cell
110,119.789001,-1.562373,-8.239315,15.379066,408.830292,-31.719894,124.834259,-0.075502,-0.044483,-0.019024,0.036429,0.017645,100.978226,0.058466,0.000453,-0.000019,-0.000001,0,60.639191,0.003075,-0.000029,-0,0,0,Cell
